state,district,pincode,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Andhra Pradesh,Alluri Sitharama Raju,531149,2026-01-01,1.5,0.0,3.582966210790304,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,531151,2026-01-01,5.046875,0.0,11.709206616191327,2025-12-01,5
Andhra Pradesh,Alluri Sitharama Raju,533284,2026-01-01,1.125,0.3248333506908285,1.9251666493091715,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,533285,2025-11-01,1.5,0.11407070887436688,2.885929291125633,2025-10-01,1
Andhra Pradesh,Alluri Sitharama Raju,533286,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,533288,2026-01-01,1.583984375,0.39131072651637955,2.7766580234836207,2025-12-01,2
Andhra Pradesh,Alluri Sitharama Raju,533295,2026-01-01,1.546875,0.0,3.6659100973001233,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,533339,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,533347,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Alluri Sitharama Raju,533348,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Alluri Sitharama Raju,533428,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Alluri Sitharama Raju,533436,2025-12-01,1.015625,0.717879626077402,1.3133703739225981,2025-11-01,1
Andhra Pradesh,Alluri Sitharama Raju,533483,2026-01-01,2.125,0.0,4.3546821192585226,2025-12-01,3
Andhra Pradesh,Alluri Sitharama Raju,535145,2025-10-01,1.5,0.0,3.595328136593407,2025-09-01,1
Andhra Pradesh,Alluri Sitharama Raju,535273,2025-03-01,1.0,1.0,1.0,2025-02-01,1
Andhra Pradesh,Anakapalli,530046,2025-02-01,2.0,2.0,2.0,2025-01-01,2
Andhra Pradesh,Anakapalli,531001,2025-11-01,1.84375,0.0,4.177622469483351,2025-10-01,1
Andhra Pradesh,Anakapalli,531002,2025-10-01,1.375,0.2036759628522944,2.5463240371477056,2025-09-01,1
Andhra Pradesh,Anakapalli,531011,2025-11-01,1.03125,0.6133765959430035,1.4491234040569965,2025-10-01,1
Andhra Pradesh,Anakapalli,531019,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Andhra Pradesh,Anakapalli,531020,2025-06-01,1.0,1.0,1.0,2025-05-01,1
Andhra Pradesh,Anakapalli,531021,2025-09-01,1.0,1.0,1.0,2025-08-01,1
Andhra Pradesh,Anakapalli,531023,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Andhra Pradesh,Anakapalli,531025,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Anakapalli,531026,2025-04-01,1.0,1.0,1.0,2025-03-01,1
Andhra Pradesh,Anakapalli,531027,2026-01-01,1.125,0.3248333506908285,1.9251666493091715,2025-12-01,1
Andhra Pradesh,Anakapalli,531028,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Anakapalli,531030,2025-11-01,1.75,0.6764637872898742,2.823536212710126,2025-10-01,2
Andhra Pradesh,Anakapalli,531031,2025-09-01,1.0,1.0,1.0,2025-08-01,1
Andhra Pradesh,Anakapalli,531032,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Anakapalli,531033,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Anakapalli,531034,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Anakapalli,531035,2026-01-01,1.3125,0.0,3.1570156879699223,2025-12-01,1
Andhra Pradesh,Anakapalli,531036,2025-12-01,1.5,0.2603871572139953,2.7396128427860047,2025-11-01,2
Andhra Pradesh,Anakapalli,531055,2025-11-01,2.0,0.0,4.419476527405601,2025-10-01,3
