state,district,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Assam,Sivasagar,2025-02-01,422.0,422.0,422.0,2025-01-01,422
Assam,Sonitpur,2026-01-01,193.1474609375,74.07672050283917,312.2182013721608,2025-12-01,178
Assam,South Salmara Mankachar,2026-01-01,41.580078125,18.17959717233211,64.98055907766789,2025-12-01,45
Assam,Sribhumi,2026-01-01,4.83349609375,0.6560540250717128,9.010938162428287,2025-12-01,6
Assam,Tamulpur District,2026-01-01,1.58984375,0.2153178078746263,2.9643696921253735,2025-12-01,2
Assam,Tinsukia,2026-01-01,112.35400390625,0.0,336.70486934890755,2025-12-01,93
Assam,Udalguri,2026-01-01,82.9990234375,0.0,179.11559614717083,2025-12-01,91
Assam,West Karbi Anglong,2026-01-01,25.03466796875,0.0,102.62934805338112,2025-12-01,24
Bihar,Araria,2026-01-01,312.09326171875,160.5602251069152,463.6262983305848,2025-12-01,290
Bihar,Arwal,2026-01-01,91.1494140625,36.504547686784676,145.7942804382153,2025-12-01,86
Bihar,Aurangabad,2026-01-01,241.38134765625,139.81168892394902,342.951006388551,2025-12-01,210
Bihar,Aurangabad(BH),2025-06-01,1.0,1.0,1.0,2025-05-01,1
Bihar,Aurangabad(bh),2026-01-01,2.27734375,0.0,6.210650454497241,2025-12-01,1
Bihar,Banka,2026-01-01,227.908203125,58.68458554220328,397.1318207077967,2025-12-01,182
Bihar,Begusarai,2026-01-01,290.91064453125,172.6820496618444,409.1392394006556,2025-12-01,297
Bihar,Bhabua,2025-12-01,1.265625,0.0,2.881087932176686,2025-11-01,1
Bihar,Bhagalpur,2026-01-01,326.365234375,0.0,795.0730527464573,2025-12-01,285
Bihar,Bhojpur,2026-01-01,330.38330078125,223.74386160064398,437.022739961856,2025-12-01,344
Bihar,Buxar,2026-01-01,199.30126953125,105.35714848996771,293.2453905725323,2025-12-01,233
Bihar,Darbhanga,2026-01-01,469.80029296875,253.24946082754795,686.351125109952,2025-12-01,467
Bihar,East Champaran,2026-01-01,609.1318359375,105.286208904212,1112.977462970788,2025-12-01,603
Bihar,Gaya,2026-01-01,441.6591796875,0.0,962.2755264524312,2025-12-01,423
Bihar,Gopalganj,2026-01-01,312.240234375,0.0,628.6951610443396,2025-12-01,348
Bihar,Jamui,2026-01-01,174.4853515625,0.0,382.29780934752625,2025-12-01,148
Bihar,Jehanabad,2026-01-01,86.3740234375,16.372509806310063,156.37553706868994,2025-12-01,75
Bihar,Kaimur (Bhabua),2026-01-01,151.306640625,6.146144684536097,296.4671365654639,2025-12-01,149
Bihar,Katihar,2026-01-01,367.6669921875,175.75350960840413,559.5804747665959,2025-12-01,325
Bihar,Khagaria,2026-01-01,242.12353515625,144.78657159593732,339.4604987165627,2025-12-01,277
Bihar,Kishanganj,2026-01-01,187.0205078125,102.30040296200588,271.7406126629941,2025-12-01,154
Bihar,Lakhisarai,2026-01-01,120.56103515625,0.0,254.27170589206062,2025-12-01,125
Bihar,Madhepura,2026-01-01,244.59716796875,158.34376034012513,330.85057559737487,2025-12-01,263
Bihar,Madhubani,2026-01-01,475.59375,27.361241688192592,923.8262583118074,2025-12-01,459
Bihar,Monghyr,2026-01-01,1.2109375,0.0,2.7008270544480455,2025-12-01,1
Bihar,Munger,2026-01-01,136.54443359375,29.82146810827426,243.26739907922575,2025-12-01,128
Bihar,Muzaffarpur,2026-01-01,490.7978515625,0.0,1156.5198663393885,2025-12-01,525
